Sentences,Sentence Sentiment,Aspects,Aspects Sentiment
فيلم يعيد الامل للسينما المصرية اخيرا فيلم مصري يستحق المشاهدة الاخراج مروان حامد يثبت انه من افضل المخرجيين المصريين في هذا الوقت باسلوب اخراج يحسسك انك بتتفرج على فيلم اجنبي من حيث الجودة و الاتقان في العمل بس الحلو ميكملش عشان ترتيب المشاهد حسسني بلخبطة و بعض من الملل فيسير الفيلم في النص الاول 5 دقائق كلام و حوار من غير موسيقة بعد كدة الموسيقى تزداد لمدة نص دقيقة في حدث قصير جدا و بعد كدة 5 دقائق كلام وهكذا فا تيجي تتحمس و تخش في المود يرجع هادي تاني حسيت انو كان بطيء من الانتقال من حدث لحدث و غير مترابط و كان ممكن يزود من مشاهد الاثارة اكتر من كدة او يزود من مدة كل مشهد التمثيل نيللي كريم .. تمثيل فوق المتوسط مش افضل حاجة ليها كريم عبد العزيز .. رائع في اوقات عادي في اوقات تانية .. كان ممكن يعيش الدور اكتر من كدة خالد الصاوي .. امتياز .. احسن تمثيل في الفيلم و احسن اقناع مايا .. تمثيل متوسط و يمكن تحت المتوسط ماكانش في اي كيمياء بينها و بين يحيى على العموم التمثيل كان جيد جدا عشان الممثلين الثانويين كانوا ممتازين زي محمد ممدوح و شيرين رضا ارتباطها بالرواية مفيش اي اختلاف بينها و بين الرواية غير في اخر مشهد في الفيلم فقط الموسيقى كالمعتاد من هشام نزيه موسيقى رائعة تتدخلك في المشهد و خصوصا في اخر ربع في الفيلم في الملخص فيلم رائع يستحق المشاهدة متقن جدا و معمول باحترافية لكنه مش كامل .,1,"فيلم،مروان حامد،التمثيل،الممثلين الثانويين،موسيقي","1,1,1,1,1"
". كانت تشـغل كل الفضاء الركحى كاملاً الذى يشغله الديكور على المسرح. ج) لعـــب المــمثـلــين : من أكثر الأشياء التى برع فى تجسيدها جميع الممثلين هى لغة الجسد. هناك البعض الذى برع فى تجسيد شخصيته بالصورة الكاملة،وهناك الذى لم نتمكن من التعريف بشخصيته وأرجحُ أن ذلك لعدم أهميته فى مجرى الاحداث وأن وجوده لإكتمال الصورة أو لعدم إعطائه الفرصة للظهور فى النص المسرحى،والبعض الآخر الذى وضحت صورته إقـراباً من منتصف الأحداث . د) تــفــاعــل الممــثــلين : لم يكن التفاعل على أوجهه بين تلك الشخصيات التى تمثل فئات المجتمع ولكنّه كان كذلك بين شخصيات كل من (المحامى_الدفاع_صاحب السعادة) . من الأشياء التى أضفت شيئاً من الواقعية على العرض خروج الممثلين _ليس جميعهم_ من خشبة المسرح إلى المشاهدين ممارسين رسم شخصياتهم ",-1,الصورة,1
"رأيــاً أكثـر منه نقــداً 1) مقاربة اللســانى : بالنسبة للنص المسرحى (على حد علمى وبحثى) فهو مأخوذ عن نص ""ميـراث الـريح"" تأليف جيروم لورانس،روبرت أى لى،وإن كانت هناك إقباسات فيما يتعلق بقصة ""آدم وحـواء"" من إشارات واضحة مثل ""ليس هـناك شجرة المعــرفة"" وأيضاً ""مش هتاكلى بردو من التفاحه"" .",,إشارات,1
الجواب بيبان من عنوانه .......... كآبة فى البداية .......من المعروف ان اى عمل فى السينما او فى التلفزيون لازم يكون لى هدف اما كوميدى او اكشن . دراما اما فى مسلسل سجن النسا الوضغ اختلف لاول مرة الهدف من المسلسل الكئابة و الحزن الجواب بيبان من عنوانة بداية المسلسل بحدث وفاة ام نيللى كريم عياط و نواح شديد مع ان او حلقة المفروض يبقى فية نوع من انواع البهجة لانها بتكون فى اول ايام رمضان احداث حزينة جدا تاليف سئ و ان المؤلف يتفنن الاحداث السيئة للابطال فمثلا موت ابن نيلى كريم حدث كئيب بدون داعى و ان المؤلف مش لاقى مواقف تحصل غير الموت نيللى كريم نفسها بعد قتل صابر كآبة بدون داعى كانت ممكن تهرب او تهرب الجثث باعتمادها على شخصية ليها سطوة سلوى عثمان شخصية صابر و التى قام بدورها احمد داوود لا يصلح لدور سواق ميكروباص ابدا قصة روبى و انتهت بقتلها لداليدا اللى شغاة عندها القتل كان قرار غلط المؤلف يتفنن فى الكئابة و من المعروف ان هى اكتر حاجة بتاثر على المشاهد كان ممكن تضربها لكن القتل كانت فكرة فاشلة عشان تتعدم روبى و الاعتماد عليها كممثلة تعرف تقوم بالدور بطريقة رائعة ما انقذ المسلسل ؟ طبعا الاخراج الرائع للمخرجة كاملة ابو ذكرى وهو اللى خلى الناس تتخدع فى التاليف السئ واداء الممثلين,-1,,
ئ,-1,"لقطات،محتويات،الانتقال،حركة الفيلم،شكل،الفيلم","-1,-1,-1,-1,-1,-1"
"سيناريو مهلهل ونهاية مبالغ فيها اول حاجة قولتها بعد ماطلعت من العرض هي ""هو ايه اللي حصل؟""،في الواقع تقريباً ماحصلش اي حاجة تٌذكر. دة في حد ذاته مش عيب،بالعكس،الابداع الحقيقي هو انك تخلق فيلم مفيهوش سير في الاحداث وفي نفس الوقت يكون رائع،علي سبيل المثال فيلم ""الصبا"" للرائع ""ريتشارد لينكلاتر""،لأن دة مش بس هايخليك تغير تفكيرك عن الفيلم لما ترجعله للمرة التانية،دة ايضاً هايخلي الفيلم يصمد اكتر مع تكرار مشاهدته. انا ممكن استمر لايام اتكلم علي افلام عاجبتني جداً لما اتفرجت عليها اول مرة وبعد كدة حسيت بقدر ""الفراغ"" اللي موجود فيها. ",-1,"سيناريو،ريتشارد لينكلاتر","-1,1"
الفيل الازرق .... فيلم اجنبى ايوة احساسك انك فى فيلم اجنبى مش وحش اولا نوع الفيلم : مرعب تشويقى محتاج تركيز لان فيه الالغاز كتيرة الاخراج : اخراج كويس جدا حاجة تحفة يعنى القصة : تحس انك عايش القصة فعلا الاعمار :احسن سن يكون من اول 11 سنة عشان فى كذا مشهد مرعب و فى مشهد واحد بس خالد الصاوى و هو بيغتصب مراته يعنى خش و انت مطمن الفيلم مدتة ساعتان و نص و شوية و مش هتزق خالص بس احسن حاجة تتدخل الفيلم و انت فى اخر روقان عشان للمرة التانية تعرف تحل اللغاز التصوير : حاجة رائعة بجد تصوير تحفة و دة يخلنى اقول ان دة فيلم اجنبى الابطال,1,"اخراج،مشهد،تصوير","1,-1,1"
"أوسكار أحسن دراما رمضانية 2014 ل تفاحة آدم تحقق فى هذا العمل الحرفية الشديدة التى زاوجت بين السرد التاريخى الأمين لأحرج الفترات فى التاريخ السياسى المصرى المعاصر .. وبين الرؤؤية الدرامية بمقتضيات مناخ التشويق والأثارة .. ويحسب لصناع العمل العرض الأمين دون إملاءات لوجهة نظر معينة .. وأجزم بيقين أن هذا العمل يعلو صفوة الأعمال سواء الصحفية أو الدرامية التى حللت بوضوح وشفافية العلاقة الغامضة بين الداخليةوالأخوان والرموز التى تطلق على نفسها "" ثورية "" .. ",1,تفاحة آدم,1
مسلسل خفيف النص ضعيف و لكن الفكره الرئيسيه للمسلسل وصلت بطريقه جكيله جدا يوسف معاطى من افضل الكاتب ولكن المسلسل به مبالغات كثيره خصوصا بشخصيه عادل الامام كان من افضل لو كان المسلسل 7 حلقات كثيره عليه . رامى إمام مخرج موهوب عرف كيف يبرز الممثلين رغم ضعف قصه المسلسل . طاقم العمل عادل الامام من الافضل الممثلين و الزعيم بس مع احترامي الكبير ليه بس الدورمش مناسب ليه كان كثير متصنع و علطول بيضحك و بيصنع الضحك هذا جيد و لكن لا يوجد شخص فرحان علي طول لو كان الي مثله محمود عبد العزيز او نور شريف كان هيكون اجمل . لبلبه هي من افضل ممثلات رمضان هذا العام مع وفاء عامر و نيلي كريم و رانيا يوسف ادائها ممتاز اعطتني الاحساس الام التي تريد المحافظه علي بيتها و الاولادها كانت تعابيرها صادقه في كل مشاهد المسلسل . خالد زكي ادائه مميز صحيح كان جد و اوفر حبتين بس كان مضحك لو كان ممثل الاخر سوف يرشح لدور و ينجح عادل الامام . محمد إمام من نجوم رمضان 2014 متالق في هذا المسلسل و دلع البنات تمثيله الاحترافي و موهبته تصقل علي المدي السنوات ابدع بشخصيه الضابط بس انا مش عاجبني موضوع السجاير الي يشربها عمال علي بطال . مادلين طبر- ياسر فرج- لطفي لبيب- أحمد عيد- إدوارد- رياض الخولى-احمد حلاوة- نهال عنبر- إنجى وجدان- تارا عماد نجوم تستحق الاشاده . المسلسل خفيف عائلي و يستحق المشاهده رغم انه الاقل مستوي من الصياد و سجن النسا و ابن الحلال و الوصايا السبع و جبل الحلال,1,"مسلسل،النص،يوسف معاطي،مخرج،قصه المسلسل،الدور،لبلبه،اداء،تعابير","1,-1,1,1,-1,-1,1,1,1"
عمل كوميدي خفيف افضل عمل كوميدي في رمضان 2014 هذا مسلسل ليس بشعبيه صاحب السعاده او الكبير قوي او دلع البنات لكنه مميز عناصر النجاح متكامله مناسب للجميع الأعمار . المؤلف إيهاب امام ابدع بشخصيه القرد مسعد او ميسي حقيقه الفكره غريببه لكنها فكره مبتكره و قصه جميله جدا و المسلسل مشوق جدا . المخرج عبقري عرف كيف يستغل طاقات الممثلين و,1,"عمل،عناصر النجاح،فكره،قصه","1,1,1,1"
سقف التوقعات الذي ارتفع كثيرًا حين تقرأ الأسماء التي تطالعك في فريق العمل تجد أسماءً لها وزنها وتأثيرها: أحمد حلمي (أنجح فناني جيله في السينما) عمرو سلامة (المخرج الشاب صاحب ,1,,
"فلم مبهج كارل كاسبر طباخ ماهر يعمل يحضر نفسه لليلة مهمة لأن أحد أهم ناقدي الطعام سيزور مطعمه مما يسبب مشكلة بينه و بين مديره بشأن قائمة الطعام,ليقرر كارل ترك المطعم و العمل بنصيحة زوجته السابقة و هي البدء في مشروع شاحنة طعام,و يقرر ابنه الوحيد مشاركته في هذه التجربة. فيلم جميل مبهج ليس فيه حبكة,حوار الفيلم جيد و مضحك و السيناريو متوقع و بسيط,أظن أن جون فافريو الممثل و المخرج و الكاتب نجح في الناحية الإخراجية,و الموسيقى و الأغاني رائعة,و بشكل عام الفيلم ممتع و يجذب الانتباه. أداء جون فافريو كممثل جيد جداً كعادته رغم أننا عرفناه سابقاً كممثل مساعد أو بأدوار صغيرة لكن هذه المرة نجح كبطل للفيلم,و سوفيا فيرجارا لم تكن سيئة لكن لم تقدم أي شيء مميز,ضيوف الشرف: سكارليت جوهانسون كانت مدهشة كعادتها,و داستين هوفمان كان جيد في دوره البسيط جداً,و بالطبع روبيرت داوني جونيور كان رائعاً في مشهده الوحيد. فيلم يستحق أن يشاهد,فيلم يعتمد على الصور و الطعام و الموسيقى,",1,"فلم،طباخ،حوار الفيلم،السيناريو،الموسيقي و الأغاني،أدوار،سوفيا فيرجار،سكارليت جوهانسون،داستين هوفمان،روبيرت داوني جونيور","1,1,1,1,1,-1,1,1,1,1"
"الفيل الازرق ... فيلم وحش اوي يا جماعة اه فعلاً ... الفيلم سئ ... بغيض ... مشين ... ازاي السينما المصرية في 2014 تنتج فيلم بهذا المستوي المتدني من حيث القصة والسيناريو والحوار والاخراج والممثلين والموسيقي التصويرية؟!! نحن امام مؤامرة ماسونية متكاملة ... احد المنتجين السينمائيين المصريين بدون ذكر اسماء ""كامل ابو علي"" قرر ان يضع امواله في تحويل رواية للكاتب البذئ قليل الادب ""احمد مراد"" ",1,"فيلم،المستوي","-1,-1"
"لكن في هذا الفيلم بيتر (كريس برات) و روكيت (برادلي كوبر) ودراكس (دايف باتيستا) و حتى جروت (فان ديزل) بجملته الوحيدة , فتضحك و تتحمس طوال الفيلم,و السيناريو جيد و مليء بالأحداث, و الإخراج رائع جداً. أداء الممثلين هو أفضل ما في الفيلم برأيي, كما ذكرت الأسماء و بالطبع بالإضافة لزوي سالدانا, و تواجد برادلي كوبر بصوت روكيت أضاف كثيراً للفيلم و للشخصية,و كريس برات برأيي كان الرجل المناسب للدور. فيلم يجب مشاهدته في السينما و لأنه سيضيف لمتعة الفيلم, و إذا كنت من محبي مارفل فهذا الفيلم الأفضل و حتى أفضل من أفينجرز, و إذا لم تكن من محبي مارفل فأيضاً الفيلم رائع و لن تندم على مشاهدته, شاهدوه في السينما بأسرع وقت.",,"السيناريو،الإخراج،أداء الممثلين،الفيلم","1,1,1,1"
"أفضل أفلام مارفل يبدأ الفيلم عندما يكون بيتر الطفل موجوداً في المستشفى ليرى أمه المريضة و بعدها تموت أمه مما يجعل بيتر يخرج من المستشفى باكياً,ليتفاجئ بسفينة فضائية تأخذه,و هي البداية لما سيحدث بعد 26 سنة,عندما يذهب بيتر الملقب ب ""ستار لورد"" لسرقة جرم سماوي مما يعرضه لمشاكل مع جامورا المجرمة و روكيت و جروت صائدي الجوائز و لاحقاً دراكس المدمر ليكتشفوا إن عليهم التوحد لأن عدوهم واحد... رونان. فيلم رائع جداً, مشوق, و لا مجال للمل فيه, الحوار جيد جداً و مضحك جدا, فعادةً يكون توني ستارك (روبرت داوني جونيور) هو الشخص المضحك في أفلام مارفل, ",1,"جامورا،فيلم،الحوار","-1,1,1"
"فيلم أدنى من المتوقع تدور أحداث الفيلم عن الغرب الأميريكي لكن بطريقة كوميدية,حيث يتعرف بطل الفيلم الجبان آلبرت على فتاة تدربه على استخدام المسدس ليخوض مواجهة مع الرجل الذي تركته حبيبته لأجله, و يقع في حب هذه الفتاة قبل أن يكتشف إن الفتاة متزوجة من أخطر مجرم في المنطقة... كلينش. فيلم مقبول ليس جيداً مقارنة بأعمال سيث ماكفرلين السابقة, و مع نجوم أمثال تشارليز ثيرون و ليام نيسون و نيل باتريك هاريس -رغم أداءهم الجيد- كان من المتوقع أن يكون العمل أفضل بكثير, و رغم وجود لقطات مضحكة و نكت مضحكة و ذكية رغم المبالغة بلقطات و نطت إطلاق الريح التي أبحت مكررة, العمل بالمجمل لم يكن في المستوى, سيناريو الفيلم جيد و يوجد أحداث مهمة,و رسم الشخصيات طريف,و بالأخص الشخصيات الثانوية إدوارد و روث. الفيلم ليس سيئاً و ليس جيداً أيضاً لكن لن يمّل المشاهد أثناء مشاهدة الفيلم و سيضحك في الكثير من المشاهد و وجود سيث ماكفرلين الممثل و المخرج و الكاتب وحده يجعل الفيلم يستحق المشاهدة.",0,"فيلم،مجرم،أداء،سيناريو الفيلم،أحداث","-1,-1,1,1,1"
السبع وصايا للجريمة الكاملة فى البداية يثبت هذا العمل عطش شريحة كبيرة من المشاهدين لهذا النوع من الاعمال القائمة على تيمة الغموض وحكايات اخر الليل المبنية على موروث شعبى لفئة كبيرة من المجتمع او روايات عراب الجيل لتلك النوعية الاستاذ(الدكتور)أحمد خالد توفيق. العمل بدأ بداية واعدة جدا دون اى مقدمات ببراعة اخراجية وكاميرا محترفة اقحمت المشاهد فى مشهد عنيف حول المشاهدين الى مشاركين فى الجريمة ولما لا وتلك الموسيقى الروحانية تسري فى تلافيف مخك كالمخدر وتحول ارادتك الى قيد امسك به سيد نفيسة واختفى ومن هنا بدأت الطاحونة الفكرية وكما تحرك طوبة فى بركة مياه راكدة بدأت موجة تليها موجه من الاستنتاجات وان اختلفت.استنتاجات جيل الثلاثين الذى نشأ على ما ورائيات الطبيعة والجيل الاكبر الذى,1,"شريحة،فئة،كاميرا","1,1,1"
رحلة غير ممتعة في عالم المخدراتفي بدايه مشاهدتي للفيلم كنت علي يقين تام من تيمه القصه الامريكية (الجندي الامريكي الخرق الذي لا يموت ),-1,,
"فكرة جيدة للتعريف بالحضارات والثورات في فيلم (  يقلب المخرج (روب مانكوف) الأدوار؛ فبعد أن كان الإنسان يتبنى الكلاب ويقوم بتربيتها ورعايتها أصبح العكس قائم تماما في فيلمه هذا حيث يقوم الكلب (مستر بييودي) بتبني الطفل (شيرمان) ويتولى رعايته ويحاول مساعدته في الالتحاق بالمدرسة ونقل كل ما يملك من علم له،ويدفع به لمشاركته اختراعاته إلى أن يقع ما لم يكن في حسبانه عندما يستخدم شيرمان آلة الزمن ويعود بها إلى الوراء وتحدث العديد من المفارقات. قام بأداء أدوار الشخصيات كلا من الممثلين تاي بريل في دور السيد بيبودي،و الطفل ماكس تشارلز في دور شيرمان،وستيفن كولز في دور السيد بول بيترسون،وقد قدم الفيلم العديد من المعاني الإنسانية والاجتماعية الجميلة حيث فكرة المشاركة والتعاون،",1,"فكرة،المعاني","1,1"
الغموض سيد المشهد ما أكثر أفلام الرعب وأكلعام1991 للنجم انطوني هابيكنز وجودي فوستر وتبعها بفيلم (هانبيال) عام 2001 مع جوليان مور.,0,,
" خصوصا في المشاهد المعقدة والتي تتسم بطابع خيالي .. واعتقد ان السبب الرئيسي كان في مدة الفيلم .. الا ان المعالجات الجديدة لم تقيد الفيلم .. الخلاصة .. انه وبعد ""لي لي"" و ""عمارة يعقوبيان"" و ""ابراهيم الابيض"" سيجعلك ""الفيل الازرق"" في انتظار مفاجآت لوحة مروان حامد الفنية القادمة ..",1,المشاهد,-1
"جاكي شان يتفوق على نفسه المتابع لأفلام الممثل الصيني (جاكي شان) يتذكر جيدا المشاهد المضحكة التي يزج بها دائما في أفلامه التي يُبنى البناء الدرامي فيها على الحركة والعنف والمطاردرات،حتى أنه جعل تلك الكوميديا أساس من أساسيات خطوطه الدرامية في أعماله،ولعل ذلك من الأسباب التي زادت من شعبيته بالإضافة إلى السبب الرئيسي وهو إتقانه في تقديم مشاهد حركة ومعارك قتالية حية. ",1,معارك,-1
مسرحية للأطفال عندما تم الإعلان عن فيلم جديد يجمع بين أحمد حلمى وعمرو سلامة تحمسنا جدا لمشاهدة فيلم اكيد سيصبح تحفة فنية أمد حلمى ممثل معروف باختياراته لأفلامه التى تتخذ مجال مختلف فى الكوميديا عن ما هو سائد حاليا وحتى أن أصابه عدم التوفيق فى أعماله مؤخرا وعلي الجانب الأخر عمرو سلامة من المخرجين الشباب ذو الرؤية السينمائية الجيدة فى أفكاره ورؤيته الأخراجية . أذا نحن أمام عمل سينمائي كوميدى توسمنا فيه كل أبداع ومتعة فنية رائعة,-1,"الرؤية السينمائية،متعة","1,1"
مسلسل من الزمن الجميل مسلسل ظلم في رمضان و لكنه عمل روعة قمة في الابداع لا ينافسه الا الصياد الكاتب ناصر عبدالرحمن مبدع كتب مسلسل متكامل قمة التشويق شخصيات ذات خطوط مترابطة عادل أديب ناجح و عرف كيف يوظف الممثلين و يستخرج خلاصه ابداعهم و بصمته واصحة في المسلسل بس يعيب المسلسل المط كان من المممكن زياده مشاهد الاكشن و تقليل مشاهد البكاء و الموسيقي. طاقم العمل محمود عبدالعزيز نجم نجوم رمضان مع الموهوب يوسف شريف اتقن شخصيته ,1,"مسلسل،يوسف شريف","1,1"
أحلى الأوقات سينمــا إجتماعيــة حازت على الإعجــاب . عند معرفتك لقصة العمل والاسمـاء الموجودة ينتابك شعور جيد تجاه العمل وتتحمس لمشاهدته لكن بعد مدة من الوقت وانت تشاهد العمل تتفاجأ بأنه أقل من المستوى المطلوب لكن مع هذا الفيلم لن يحصل ذلك لأنك تتابع قصة اجتماعية بسيطة محبوكة بطريقة فنية محترمه مع أداء لائـــق من ابطال العمل .. فيلم أحلى الاوقات دراما اجتمـــاعية بسيطة,1,"شعور،قصة،أداء","1,1,1"
"تشويه متعمد للتاريخ و حضاره مصر في بدايه كنت متشوق لمسلسل سرايا عابدين لأني احب المسلسلات التاريخيه ولكني تفاجئت ان المسلسل ليس له علاقه في التاريخ او الشخصيات . الكاتبه هبه مشاري حماده من اسوء الكاتب في الوطن العربي سرقت مسلسل ساره لحنان ترك و كتبت فضه قلبها ابيض ,سرقت قصه ضمير ابله حكمت و كتبت أبلة نوره",-1,تشويه,0
"مسلسل روعة مسلسل مشوق ويشد المشاهد والقصه جميلة . الكاتب محمد أمين راضي ابدع في كتابه المسلسل و هو ثاني عمل مميز له بعد مسلسل نيران صديقة و انت كنت اعتقد ان مسلسل نيران صديقة افضل نوعا ما من مسلسل السبع وصايا بسبب بعض امور الغير منطقيه في المسلسل .الكاتب مميز و القصه حلوه و لكن يعيبه الجنوح إلي الخيال و البعد عن الواقعيه و لكن يحسب للكاتب تطرقه إلي بعض امور التي تمس المجتمع مثل مشكله انجاب و لجوء إلي الشعوذه و الصوفه و ايجاد الحلول لها . المخرج خالد مرعي مبدع و عرف كيف يوظف الممثلين و يبهر المشاهدين و عمل علي اظفاء مزيد من اثاره في مسلسل. طاقم العمل رانيا يوسف,هنا شيحة , صبرى فواز وسوسن بدر نجوم ادائم عالمي مشاعر صادقه عبرو عن شخصياتهم بقمه الاخلاص و الصدق و اظهرو ابعاد و خطوط للشخياتهم في العمل. هيثم أحمد زكي ممثل شاب مبدع و لديه طاقات فنيه هائله اعتقد ان الدور غير مناسب له احس انه متصنع كنت اتمني لو ظهر في دور اكشن . أيتن عامر ممثله موهوبه ولكن لم يتم توظيفها في المكان الصحيح هي كانت مميزه في كيد النسا و الزوجه الرابعه لأنه ممثله كيوت و هي مميزه في اداء الرومانسي و الكوميدي . نسرين أمين- ناهد السباعي - سلوى عثمان- نهى عادل- رمزي لينر- شيرين الطحان- محمد شاهين - أحمد فؤاد سليم ممثلين يستحقو اشاده . عمل محترم و يستحق المشاهده",1,"مسلسل،القصه،الكاتب،المخرج خالد مرعي،اداء،مشاعر،ممثله","1,1,1,1,1,1,1"
صنع فى مصر للأسف أنا من أشد المعجبين بأفلام أحمد حلمى و أفلام عمرو سلامة و كنت متحمس جداً أشوف فيلم يجمعهم مع بعض و قد كان. سمعت مسبقاً بعض التعليقات غير المشجعة لكن برضه كان لازم أشوفه. دخلت السينما و كان طابور التذاكر طويييل جداً - و توقعت إنه فيلم حلمى لكنه طلع فيلم الفيل الأزرق و لما سألت فين طابور حلمى شاورولى على شباك واقف عليه 3 أنفار. المهم دخلت الفيلم و جاهز بالفشار أبو كراميل و إزازة المياه.,-1,"طابور التذاكر،التعليقات","-1,-1"
الرواية جميلة و الفيلم اشد و احلى الفيل الازرق الفيلم: رعب شوية و القصة حلوة و مشوقة و كمان عايز اقلوكوا ان الفيلم افضل من الرواية بكتيرررر اوى و الفيلم جميل بعتبروا افضل افلام العيد هو و الحرب العالمية الثالثة الاعمار: يناسب جميع الاعمار و العائلات بس اطفال يبقوا فوق 12 سنة عشان القصة مش هيفهموا حاجة و مشاهد الرعب و بالنسبة للمناظر مفيش حاجة خادشة للحياء ,1,"الرواية،القصة","1,1"
"لا يستحق المشاهدة عندما شاهدت اعلان المسلسل اعتقدت انه مسلسل قوي و من نوعيه المسلسلات امريكيه الكوميديه الطبيه و لكن اكتشفت ان المسلسل بلا قصه مجرد خبط لصق و مجموعه افكار يريد الكاتب ايصالها للمشاهد . الكاتب أحمد عبدالفتاح كانت بدايته صاروخيه في مسلسل الزوجه الرابعه اما المسلسله الحالي فهو من اسوء اعمال رمضان و بلا اي هدف او اي منطق انا لو كنت المؤلف لعملت تركيز علي فكره واحده او اثنين .المؤلف هو ركز علي الرجل ذو العلاقات النسائيه ,حشر مشاهد شرب الخمر و التحشيش و رقص بدون داعي ",-1,"مسلسل،بداية","1,1"
 قد يحرق القصة قبل ان اقرر مشاهدة احد الافلام ابدأ فى البحث عن تقييم الفيلم من الاخرون ممن شاهدوا الفيلم فان كانت الاراء ايجابية اشاهدة ولكن ما حدث مع هذا الفيلم لم يكن كذلك فقد كان النقد لهذا الفيلم مخيباً لظنى لوجود دانيال جريج بطلاًللفيلم وهذا ما دافعنى ان اشاهده وكان ظنى فى محله فالنقد للفيلم كان بعيد كل البعد عن احداث الفيلم فقد كان دانيال رائعاً فى اداء شخصية (ويل اتنتن) ذلك الشخص الذى كان يعتقد انه يحيا حياة عادية مع زوجته وابنتيه ليفاجأ بامور اخرى لم تكن فى الحسبان فتلك الشخصية الهادئة كانت تختفى خلفها شخصية اخرى شخصية اصيبت بالجنون حينما فقد زوجته وابتيه ولم يستطع انقاذهم بل تم اتهامه هو بقتلهم ورفض هذا الواقع وعاش بعقله مع حلم يرى فيه اسرته تحيا معه انها نفس التيمه لفيلم  للنجمة نيكول كيدمان والذى تعتقد انهم بشر يواجهون اشباح ليتضح فى النهاية انهم هم الاشباح وتكتشف فى النهايه ان القاتل ليس الزوج انما طليق جارتهم الذى اتفق مع قاتل ليقتل طليقته ولكن القاتل يخطى فى المنزل,1,"الاراء،النقد،دانيال","1,-1,1"
"جيد ولكن...!! موسم عيد الفطر ينجذب فيه الجمهور الى الافلام الكوميدية وينافس هذا العام 5 أفلام على كعكه عيد الفطر.وقبل أن اشاهد فيلم الحرب العالمية الثالثة كنت مؤمن بموهيه الثلاثى أحمد فهمى وشيكو وهشام ماجد وقدرتهم على تأليف فيلم فانتازيا كوميدى من الطراز الاول يناسب هذا الموسم . فيلم الحرب العالميه الثالثه بطولة أحمد فهمى وشيكو وهشام ماجد وأنعام سالوسه وعلاء مرسي وبوسي ,الفيلم تأليف الثلاثى وأخراج أحمد الجندى... تدور أحداث الفيلم في اطار كوميدى عن متحف تعود فيه التماثيل للحياه عندما تدق الساعه 12 ويريد تمثال هتلر أن يسيطر على العالم واعلان الحرب العالميه الثالثه . جاء تمثيل أحمد فهمى وشيكو وهشام ماجد خفيف الظل الى حد كبير واستطاعوا أن يضفوا جو من البهجة على الجماهير وأن كان اقلهم توهج هشام ماجد . تميز اداء علاء مرسي وانعام سالوسه ويوسف عيد. ",0,اداء,1
"قصة حياتنا اعتبره ببساطة واحدة من افضل الأفلام التى مرت على منذ بداية ولعى بعالم الفن والسينما وتيمة مميزة لا تقدم كثيرا وتمتاز بالواقعية البحتة لعدة اسباب اهمها بساطة الفكرة التى تمت معالجتها بأسلوب ممتع وفريد والعمق الدرامى الوقاعى الذى جعل هذا الفيلم تحفة فنية تستحق العلامه الكامله . الفيلم من بطولة "" ويل سميث "" ونجله "" جادين سميث "" وتدور احداثه حول شاب يعانى من الفقر الشديد ",1,"تيمة،أسلوب","1,1"
"لا جديد .. زومبى تجارى """" يعتبر من الأفلام التى اخذت ضجة كبيرة قبل عرضها عام 2013 واثناء عرضها ايضا لأسباب عديدة اهمها الأطلالة المميزة ل "" براد بيت "" لأول مرة بأفلام الزومبى والرعب وكذلك الميزانية الضخمة التى جعلت منتجى الفيلم يتجهوا لتعديل القصة والمؤثرات والعودة لمواقع التصوير اكثر من مرة لجعل الفيلم بصورة افضل , لا انكر انها مميزات وعوامل جعلت اى متابع ومعجب ب "" براد بيت "" واعماله متشوق بشدة لهذا العمل المبنى علي رواية ناجحة تحمل نفس الأسم ولكن هل قدم لنا الفيلم شيئا جديدا ؟ ",-1,"ضجة،الميزانية،رواية","1,1,1"
فيلم القرن اولا الرواية : عندما قرأت رواية الفيل الازرق للكاتب العبقري احمد مراد الذي تميز بكتابة روايات التشويق والغموض بداية من فيرتيجو وحتى 1919 ...ولكن رواية الفيل الازرق في وجهة نظري هي كانت افضلهم بسبب احتوائها على جرعة مكثفة جدا من التشويق والغموض وايضا الرعب والفانتازيا وبالفعل حققت الرواية اعلى مبيعات في 2013 وافضلها ... ثانيا الفيلم : عندما سمعت ان الرواية ستتحول الى عمل سينمائي في البداية كنت قلق جدا ولدي شك كبير ان يكون الفيلم في نفس مستوى الرواية ليس ذلك بسبب الممثلين بل الثلاثي كريم وخالد ونيللي افضل الادوار التي تم اختيارها لتجسيد الشخصيات في وجهة نظري وانما كان قلقي بسبب ان الرواية كانت تحتوي على العديد من مشاهد الفانتازيا التي ستحتاج الى جرافيك وجودة كبيرة وطريقة تصوير عالمية ولكن عندما عرفت ان الفيلم سيكون من انتاج ثلاثة شركات كبيرة وهما الباتروس والشروق ولايت هاوس وانه سيكون من اخراج مروان حامد وعندما قال احمد مراد ان ميزانية الفيلم تخطت ال 25 مليون جنيها كي يخرج بالشكل اللائق تحمست جدا ....,1,"الكاتب،جرعة،جودة،طريقة تصوير","1,1,1,1"
