Sentences,Aspects,Aspects Sentiment
كنت فودافون كنتي عرفتى الفرق ,,
 عندي مشكله مش عارفه احول فلوس محفظة فودافون كاش ,,
 وبعدين لما انا كلمت خدمه العملاء بتاع فودافون قالى دى سياسيه الشركه انها تخصم جنيه كل ما الفون يتقفل اظن دى سياسه نصب صح ,سياسه,-1
اشتم وسدد ع فودافون كاش ,,
 ممكن تجربة خطوات تنشيط الشبكة ضبط الشبكة بشكل يدوى اختيار أي شبكة غير فودافون اختيار فودافون بعدين قفل التليفون فتحه تاني وتجربة الخدمة وابلاغنا بالنتيجة ,,
 هو طبيعي ان يجيلي هدية عال سنة اللي معاكم كوبونات خصومات فودافون كاش عجل موتوسيكلات مدة استخدامهم ساعة ده اسمه ضحك عالدقون مش دعاية تسويق اللي هو لازم استخدم الكوبون المحلات حالا ساعتها انتم بتخدموا شركائكم مش عملائكم ,,
 فوادفون توقفلى الخط فودافون برضو شكرا تسع سنين بينا ,,
 هوا فودافون واقع ,هوا فودافون,1
شركة فودافون بعتاالي رسالة بتقولي مبروك كسبت وحدة مش مكاافينـهم الوحدة ال أنا ,,
 وانا اللي كنت بشتم فودافون حرامية النت عشان باقة ال جيجا بتخلص يوم اورانج غلبتها وباقة ال خلصت اسبوعين كبرنا الباقة وبقت اديها ايام وخلص جيجا بدون اي سبب منطقي وانا قاعدة اغلب الوقت لوحدي البيت بدون اي تحميل لحاجة ,"فودافون،سبب","-1,0"
شاركه فودافون بعتالي بتقولي مبروك كسبت واحده مش مكفينهم الواحده انا ,,
 بقالي ساعه بتخانق خدمة عملاء فودافون بزعق كل ما يحطني ويت ارقص المزيكا اللي بيشغلوها ماما قالتلي لا دي طايره خالص ,,
 طب عمرو دياب خد كام اعلان فودافون ,,
 فودافون ترفع حصتها بيي ومصاري ,,
 فودافون كاش فوري مناسب جدا الشراء أونلاين ,الشراء,1
نت فودافون سىء جداااااا جداااااااااا بعد الفطار فيسبوك لايت مش شغال ,نت فودافون,-1
اللي بينا حياة عمرو دياب فودافون ,,
 دولار لكل صورة شغل اون لاين للطلاب والسحب فودافون كاش ,,
سيشن,,
استمع اللي بينا حياة عمرو دياب فودافون أنغامي ,,
 بخصوص مشكلة انا فودافون ممكن تبعتلنا ال ايه المشكلة اللي بتقابلك بخصوص مشكلة ال فبالفعل هنحتاج المتابعة الدعم الفني للمساعدة ,الدعم,0
اللي بينا حياة عمرو دياب فودافون ,,
 ممكن مراجعه الاستهلاك البرنامج انا فودافون اول ما تفتح التطبيق هنلاقى مربع الشمال مكتوب كلمة الرصيد نضغط هيظهرلك صفحة تانية هتلاقى فوق مستطيل احمر مكتوب تفاصيل الرصيد هيبان الرصيد اللى اتشحن اللى اتخصم ,مستطيل,-1
كارت كل لحظه فودافون فليكس الموبايل شير كارتك كارتكللحظة رمضان كريم ,رمضان,ض
اهلا بيك رمضان كريم ممكن توضيح اكتر مشكلة الشبكة بتواجهك كل الأماكن لا مكان محدد امتى والمشكلة رقمك فقط ولا ارقام فودافون نفس المكان ,"رمضان،مكان","1,0"
ارسلت مشاكل كثيرة ومش هاتحلوا ولا وحدة وخليك فاكر كلامي اهو مدير فودافون فاااااااااشل رجعوا المدير السابق اللي كان بيهتم برضا العملاء ,"مشاكل،مدير فودافون،المدير","-1,-1,1"
هو احلى كده اعلانفودافون خرج جوانا نفسنا نعشها ,,
 انا فودافون ,,
 فودافون كل يوم بتثبتلي ان اختياراتي زي الزفت ,اختيارات,-1
شبكه فودافون صعبه اوي النهارده ,شبكه فودافون,-1
الخطوات دي نعمل تنشيط الموبايل الاعدادات اختيار المزيد الشبكات اختيار شبكات الهواتف المحمولة اختيار الشبكة بشكل يدوي اختيار اي شبكة غير فودافون اختيار فودافون نقفل التليفون نجرب وبلغنا بالنتيجة ,"الهواتف،شكل","0,0"
خلاص هبعتهملك فودافون كااش ,,
 اللي معاه فودافون يشحن الكارت ده يا شباب ,,
 كل اللى لفت نظرى اعلان فودافون طوله بال الواد ده وهو بيغير كاوتش عربيته وصاحبته واقفه جمبه بتتنطط وبتصوره ده انا اعرف واحد عملت معاه كده هيخبطنى بالكوريك دماغى يجيب اجلى ,,
 اهلا بيك ممكن نتشرف باتصالك خدمة الدعم الفني أي خط فودافون ب قرش للمكالمة كلها اي خط تاني بنفس تعريفة الخط الأرضي لمساعدتك مدار ساعة ,"الدعم،خط،الخط","0,0,0"
تصدقو ب الله مافي حاجه بترفع ضخطي غير شبكتم بس للاسف بحب فودافون بس ع اي مش عارف ,,
 هو أنا ليا أشتري شريحة فودافون بعد ما اشتريت واحده واتقفلت ع اسمي ,,
 ممكن تدخل الاعدادات الهاتف تفتح التطبيقات اعمل لتطبيق انا فودافون جرب تاني ,,
 اكيد يقصد خط فودافون ,,
 لما فودافون تسرق فليكس واكلم الجهاز القومي لتنظيم الاتصالات ساعتين يتم تعوضي الباقه كلها يبقا تحيا مصر ,الجهاز,0
فعلا كانت غلطه انى احول شركه محترمه زى وى واروح لشركه قذره وحرميه زى فودافون هيعتدل الخطاء دى بامر الله ,شركه,1
عايزين نعمل دراسة تحول فودافون احسن شبكة مصر لأسوأ شبكة مرة واحدة ,فودافون,1
ينفع اشتري رقم عادي كارت موقع فودافون واستلم الفرع ,رقم,0
ايوه انا ارسلت فودافون كاش النمره اللى حضرتك صححتها ,,
 إعلان فودافون كل ما اشوفه بيبقا نفسي انزل اجازاه ارتبط الحمدلله الاتنين مش عارف اعملهم ,,
 وانا اللي كنت بشتم فودافون حرامية النت عشان باقة ال جيجا بتخلص يوم اورانج غلبتها وباقة ال خلصت اسبوعين كبرنا الباقة وبقت اديها ايام وخلص جيجا بدون اي سبب منطقي وانا قاعدة اغلب الوقت لوحدي البيت بدون اي تحميل لحاجة ,سبب,1
فودافون تستكمل شراء ومصارى الفترة المقبلة ,الفترة,0
استمع اللي بينا حياة عمرو دياب فودافون أنغامي ,,
 ممكن متابعة تفاصيل الخصم والاستهلاك تطبيق انا فودافون اختيار المزيد الشحن والرصيد تفاصيل الرصيد ووضحلنا النتيجه فضلك ,,
 مين فودافون دة اللي بيبعتلك رسايل ,,
 اشتراك مجاني واتش ات بالتعاون فودافون رمضان برامج ومسلسلات حصري فيديو جديد ومميز  ,"اشتراك،فيديو","1,1"
كانت بتدفع طريق فودافون كاش كنت هقلق ,,
 ياريت اللي يقدر يتبرع بأي مبلغ طريق فودافون كاش اي محفظة لمستشفي مسشتفي الناس مستشفي الدكتور مجدي هتتبرع ب ج خلينا نشارك حاجه كويسه ربنا يتقبل الجميع يارب كل عام وانتو بخير ,حاجه,1
الرقم فودافون كاش تحب تساهم باي جزء ,,
 حول فودافون واخلص ,,
 واقفين خطي ارسال استقبال جنيه يا بتوع فودافون انتوا فعلا عديتوا قلة الذوق بمشاوير ,,
 اهلا بيك بنعتذر جدا لحضرتك المشكلة اللي بتقابلك ممكن نجرب الكود ممكن تنشيط الشبكة ضبط الشبكة بشكل يدوى طريق اختيار أي شبكة غير فودافون اختيار فودافون بعدين قفل التليفون فتحه تاني وتجربة الخدمة ونتأكد وجود رصيد كافي جرب وبلغنا بالنتيجة ,شكل,0
كنت فودافون كنتي عرفتى الفرق ,,
 فودافون اقوى شبكه مصر ,فودافون,1
انا حصل معايا موقف غريب اوي روحت اسحب فودافون كاش وسحب معايا اول مرة عادي مش فاهم ازاي ,موقف,-1
عاجلفودافون مصر تستحوذ شركتي بي ومصاري ,,
 فودافون عامله خاصيه تعدي تكلمي المساعد الشخصي زي كدا انا حاسه بي انهيار خلايا مخي بسبب الاستفزاززززززز ,المساعد,-1
بيقولك المشكلة اللي حصلت شبكة فودافون اثرت ع خطوط كتير ظهر مشكلة انه ع الرغم ان معاك رصيد بس مبتعرفش تتصل بحد يقولك رصيد خلص وكل حلولهم للمشكلة بتفشل ف الاخر يقولك روح استبدل الشريحة بتاعتك مسخرة الله ,خطوط,1
اهلا بحضرتك بنتأسفلك جدا التأخر الرد بسبب كثرة الرسائل العملاء ممكن توضيح اكتر مشكلة الشبكة بتواجهك كل الأماكن لا مكان محدد امتى والمشكلة رقمك فقط ولا ارقام فودافون نفس المكان ,مكان,0
فودافون ادتنا جيجا هدية وفاضل ايام ع التجديد ءءعععمل ءييييييييي ,,
 وحده فودافون شحنهفودافون ,,
  عمرودياب ولا غلطه وكأنها مو اعلان فودافون ع قد ما هي حلوة اوقات كمان ناصيف زيتون بتوزيعها الجديد ,"عمرودياب،توزيع","1,1"
اسوء قرار خدته اخر شهور اني جبت خط فودافون ,قرار,-1
كان احد طموحاتي اشتغل فودافون شكرا يا موزة ,,
 يا فودافون اللي بينا مش سنين اللي بينا فلوس كتير سنة مضيع ربع دخلي المكالمات الإنترنت ,فلوس,-1
فودافون مبقاش عندها مصداقية ولا احترام للعميل زي زمان وأغلب الإستاف بخدمة العملاء للأسف غير مؤهلين للعمل بخدمة العملاء ,أغلب الإستاف بخدمة العملاء,-1
وكلاء شركة فودافون مفيش وراهم غيري حد كلمني تآني حرفع قضية أنا زهقت ,,
 دا رقم فودافون كاش حد حابب يتبرع ,,
 جماعة انا بقيت عامل زى الكاستومارز البريتيش بتوع فودافون يوكيه متعصب عشان مش فاهم  البتاع ده فـحد يكسب فيا ثواب ,انا,-1
شراكة جديدة بين فودافون مصر ومجموعة العربي لتقديم خدمات الاتصالات والحلول الرقمية بالعربي موبايلك تقنية تكنولوجيا اتصالات ,"شراكة،الحلول","1,1"
أخر يوم ليا فودافون ربنا يكتبلى كل الخير اللى جاى ,,
 كلمنا خدمة عملا فودافون واشتكينا أن النت بيفصل كل شويه ويجي عملنا طلب ساعة علشان يجو يشوفو المشكله ويحلوها علطول احنا داخلين ساعه اهو والنت فصل خالص ساعة ما كلمناهم ,,
 ممكن نتشرف باتصالك خدمة العملاء أي خط فودافون ب قرش للمكالمة كلها اي خط تاني بنفس تعريفة الخط الأرضي لمساعدتك مدار ساعة ,"خط،الخط","0,0"
فودافون مثال كبير هذا الموضوع للأسف الشديد كانت خدمة العملاء عندهم ممتازة أول ما بدأوا دلوقتي تدهورت بشدة يا شريف بك ,"مثال،خدمة العملاء ","1,1"
خطوات شحن شدات لعبه ببجي موبيل عبر فودافون كاش وكيفية إضافة بيانات الفيزا ,,
 اصدقائي احذروا اختفاء الرصيد فودافون بدون سابق انذار يتم سحب الرصيد بحجة الاشتراك العاب اون لاين رغم انفك تتصل بعد معاناه سماع الموسيقى السخيفة التى تزيدك عصبية فوق عصبية فقدان الرصيد ثم يرد شخص حصل ده يقولي السيستم رغم انف الجميع ,الموسيقي,-1
واقفين خطي ارسال استقبال جنيه يا بتوع فودافون انتوا فعلا عديتوا قلة الذوق بمشاوير ,,
 اللي بينا حياة عمرو دياب فودافون ,,
 برنامج انا فودافون ,,
 ما يلا حمله بلوكات فودافون ,,
 اللي بينا حياة عمرو دياب فودافون ,,
 عفوا عفوا شكرا فودافون ,,
 طريقة حلوة أوي انت اي شبكة تانية غير فودافون تحولي لفودافون تاخدي خصم الفاتورة لمدة سنة بيديكي اول باقة انترنت مجانا الاشتراك ,شبكة,0
فودافون بتقدملك خصم شهور للانترنت المنزلي وكمان إشتراك شهر ببلاش للاشتراك زور ,الانترنت,1
بخصوص مشكلة انا فودافون ممكن تبعتلنا ال ايه المشكلة اللي بتقابلك بخصوص مشكلة ال فبالفعل هنحتاج المتابعة الدعم الفني للمساعدة ,الدعم,1
ممكن نتشرف باتصالك خدمة العملاء أي خط فودافون ب قرش للمكالمة كلها اي خط تاني بنفس تعريفة الخط الأرضي لمساعدتك مدار ساعة ,خط,1
منزل الكلام ده قبلك فودافون كانت ,,
 كارت فودافون ,,
 استمع اللي بينا حياة عمرو دياب فودافون أنغامي ,,
 برنامج انا فودافون ,,
 حسب أنا متخيل إن عندك وي اصلا ومحتاجة تغيري الروتر بس اي خدمة تانية عادى فودافون مثلا ,خدمة,0
بأحذف ابلكيشن فودافون واغير الخط شركة تانية ,شركة,0
ينفع اشتري رقم عادي كارت موقع فودافون واستلم الفرع ,,
 فودافونفى نت منزلى محترمين جدا احسن اتصالات وكمان ,نت,1
ممكن الاستعلام الرصيد تفاصيل استخدام الباقة الكود بـ قرش ببلاش انظمة فليكس اول مرات اليوم وبعدها بـ قروش حسابك موقع فودافون تطبيق انا فودافون ,,
 فودافون مصر تستحوذ شركتي بي ومصاري ,,
 ايه جمال اغنية عمرو دياب بتاعت اعلان فودافون دا مليانة حجات حقيقية وجميلة جمال يخليك تتمنى وتفتكر الاماني ,حجات,1
اخيرا حد هايبقي ليه كلمة ويتسمعله حوار خدمة العملاءانا واحد عملت تقييم لتحديث تطبيق خاص فودافون خدمة العملاء طبعا ماعجبهمش وحذفوا وبعتولي اعدله ,تطبيق,0
الليبيناحياة عمرودياب كلمات ألحان عزيزالشافعي توزيع وسام عبد المنعم ميكس ماستر أمير محروس إعلان فودافون رمضان ,,
 ممكن شحنهفودافون فودافون رمضان ,,
 مين فودافون دة اللي بيبعتلك رسايل ,,
 آه ده عرفاه عمل إعلان فودافون قبل كده أنا أقصد تاجر الفولورز ده ,,
 كود فودافون ده هيوصلني ايه معرفش بس احتياطى ادخلو ,,
 بنعتذرلك يا فندم واكيد مش دى التجربة اللى نتمنى تكون قابلتها معانا ممكن تتواصل خدمة عملاء فودافون كاش رقمك المكالمة كلها ب قرش ومتاحين مدار ال ساعة ,,
 شبكه فودافون صعبه اوي النهارده ,شبكه فودافون,-1
هوا فودافون واقع ,فودافون,-1
كل أسبوع باقه ب جنيه ببلاش فودافون دول اخواتي والله ,,
 خلاص هبعتهملك فودافون كااش ,,
 نفسي حد اصحابي يجمع صورنا اغنيه اعلان فودافون وكدا يعني عشان نفسي حد يعملي كدا ,,
 اللي بينا حياة عمرو دياب فودافون ,,
 برنامج انا فودافون ,,
 ما يلا حمله بلوكات فودافون ,,
 سعر الخط الجديد نظام الكارت جنيه سعر الخط الجديد نظام الفاتورة جنيه بنقدر نشتري اي خط جديد اقرب فرع فروع خدمة عملاء فودافون ممكن التعرف اقرب فرع الكود الموبايل مجانا اللينك ده ويوصل للبيت ,"الخط،خط","1,1"
كل اللى لفت نظرى اعلان فودافون طوله بال الواد ده وهو بيغير كاوتش عربيته وصاحبته واقفه جمبه بتتنطط وبتصوره ده انا اعرف واحد عملت معاه كده هيخبطنى بالكوريك دماغى يجيب اجلى ,,
 فودافون مصر تستحوذ شركتي بي ومصاري ,,
 دلوقتى انا مشترية خط جديد مخصوص عشان اعمل فودافون كاش بعد ما اشتريته بتاعزخدمة العملاء قالى لا مش هقدر اعملك فودافون كاش انتى ليكى محفظة بنكية الغيها وتعالى كلمت البنك اللى بتعامل معاه قالى لا ملكيش محافظ اتصلت بخدمة العملاء قالوا نفس الكلام ملكيش ,"خط،محفظة","1,0"
زى ما وضحنا لحضرتك ممكن تعرف كل العروض المتاحه لخطك برنامج انا فودافون ,,
 شغل اون لاين للطلاب والسحب فودافون كاش الربح الانترنت ,,
 العصابه كانت عاوزه تشترى فودافون فودافون رفضت وعملت مقلب العصابه بتخرب حاليا ف فودافون ,,
 تقدر تتبرع بزكاتك وصدقاتك لبيت الزكاة والصدقات كل البنوك المصرية رقم للصدقات ورقم للزكاة الاتصال بالخط الساخن وتقدر تتبرع وأنت مكانك طريق محفظة أورانج فودافون كاش وتقدر تتبرع أون لاين ,,
 متاح التبرع بنكي بريد فوري فودافون كاش رسالةهندسةالمنصورة ,,
 النظام توصيل بنات بولاد موجود بنات متعه فقط ودي مش بتاخد فلوس غرضها المتعه بس عشان الصداع الكتير متاح تحويل فودافون كاش ورصيد معني انك تكلمني يبقي تمشي ع نظامي اي حد هيرغي بلووك اي سؤال بلوك اي حد هيقولي كاش بلوك ,,
سيشن,,
لأصحاب الخط الأرضي المصرية للاتصالات تمنح زيادة النت المنزلي ,,
 بدل باقة الموبايل المصرية للاتصالات هتساعدك يكون عندك واي فاي ,,
 المصرية للاتصالات مشخصنينها لابتوبي ليه ,,
 حضرتك تسألي المصرية للأتصالات هيعرفوا حضرتك تعملي ايه ,,
 حفل إفطار العاملين بالشركة المصرية للاتصالات بالدقهلية رمضانكريم ,,
 نص اابيان الصحفي كامل موقع المصرية للاتصالات لمزيد التفاصيل يمكن تحميله لينك الـ الموضح الخبر ,,
 مد كابل بحري جديد تضم شراكة بين بعض شركات حوض المتوسط اوروبا وشمال أفريقيا وآسيا بينها المصرية للإتصالات وشركة ميتا ,,
 أقوى ميكس وي أحمد مكي المصرية للإتصالات ,,
 اكيد بيتكلم المصريه للاتصالات ,,
 وخدمة العملاء الغائبة المصرية للاتصالات ترفع شعار مغلق غير متاح المصريةللإتصالات وي ,,
 قبل الغرامة استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,,
 بمشاركة متطوعين فريق العمل بالشركه اطلقت المصرية للإتصالات حملة فرحة رمضان لتوزيع كرتونه مواد غذائيه الأسر الأكثر احتياجا بمختلف محافظات الجمهورية بالتعاون بنك الطعام مجتمعنامسئوليتنا فرحةرمضانمع وي قبلأيحد ,,
 المصرية للاتصالات تطلق مبادرة فرحة رمضان طول الشهر الكريم ,,
 فرحة رمضان مبادرة منالمصرية للاتصالات لتوزيع ألف كرتونة غذائية بالقرى ,,
 المصرية للاتصالات وبنك الطعام يطلقان مبادرة فرحة رمضان للأسر الأكثر احتياجا ,,
 هو الجهاز القومي لتنظيم الاتصالات موجود معانا مصر يعني شكوى متكررة نفس الشركة الجهاز نفسه لأن الشركات مش بتعمل أي اعتبار عموما انا نازل ادعي السيدة زينب لأن هو ده اللي ايدي المصريةللاتصالات ,,
 برلماني قوى النواب توصي بحل مشكلة بدل المناطق النائية لبعض العاملين بـالمصريه للاتصالات ,,
 برلماني قويالنواب توصي بحل مشكلة بدلالمناطقالنائيه لبعض العاملين بـ المصرية للاتصالات للتفاصيل ,,
 طريقة استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركة المصرية للاتصالات فاتورة التليفون الارضي ,,
 الآن استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركة المصرية للاتصالات فاتورة التليفون الارضي ,,
 أقوى ميكس وي أحمد مكي المصرية للإتصالات ,,
 استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركة المصرية للاتصالات فاتورة التليفون الارضي ,,
 المصرية للاتصالات مشخصنينها لابتوبي ليه ,,
 كابل تو أفريكا البحري يصل جنوة الإيطالية أعلن تحالف تو أفريكا الذي يضم شركة المصرية للاتصالات وصول كابل تو أفريكا جنوة بإيطاليا وسيربط الكابل البالغ طوله ألف كيلومتر بين موقعا أفريقيا وآسيا وأوروبا عند اكتماله بحلول عام ,,
 وهو مدرب جامد اوى كدا جايبه ع اساس ايه فشل ومش بيكسب فرق كبيره هو ماسك المصرية للاتصالات احتراما ليهم ده بيراميدز يعنى نجوم منتخب مصر وقبل الزمالك وخسر أهلى وزمالك مش فاهمه منطق حضرتك الصراحة فاشل بردوا الفرق الكبيرة آخره شركات مش بغلط دى إمكانيات ظاهرلنا ,مدرب,1
المصرية للاتصالات تحذر أصحاب التليفون الأرضي النت هيقطع ,,
 حضرتك تسألي المصرية للأتصالات هيعرفوا حضرتك تعملي ايه ,,
 لأصحاب الخط الأرضي المصرية للاتصالات تمنح زيادة النت المنزلي ,,
 بدل باقة الموبايل المصرية للاتصالات هتساعدك يكون عندك واي فاي ,,
 حفل إفطار العاملين بالشركة المصرية للاتصالات بالدقهلية رمضانكريم ,,
 نص اابيان الصحفي كامل موقع المصرية للاتصالات لمزيد التفاصيل يمكن تحميله لينك الـ الموضح الخبر ,,
 المصرية للاتصالات ,,
 مد كابل بحري جديد تضم شراكة بين بعض شركات حوض المتوسط اوروبا وشمال أفريقيا وآسيا بينها المصرية للإتصالات وشركة ميتا ,,
 اكيد بيتكلم المصريه للاتصالات ,,
 وخدمة العملاء الغائبة المصرية للاتصالات ترفع شعار مغلق غير متاح المصريةللإتصالات وي ,,
 المصرية للاتصالات تعلن هدية العيد لأصحاب التليفون الأرضي ,,
 احترس النت حيقطع تحذير المصرية للاتصالات للمتخلفين سداد الفاتورة الموقعالإلكتروني للشركة طرق السداد ,,
 صور د عمرو طلعت يسلم كأس البطولة الرمضانية لفريق المصريةللاتصالات ,,
 عمرو طلعت يسلم كأس بطولة لكرة القدم لفريق المصرية للاتصالات ,,
 أقوى ميكس وي أحمد مكي المصرية للإتصالات ,,
 قبل الغرامة استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,,
 بمشاركة متطوعين فريق العمل بالشركه اطلقت المصرية للإتصالات حملة فرحة رمضان لتوزيع كرتونه مواد غذائيه الأسر الأكثر احتياجا بمختلف محافظات الجمهورية بالتعاون بنك الطعام مجتمعنامسئوليتنا فرحةرمضانمع وي قبلأيحد ,الأسر,-1
المصرية للاتصالات تطلق مبادرة فرحة رمضان طول الشهر الكريم ,,
 فرحة رمضان مبادرة منالمصرية للاتصالات لتوزيع ألف كرتونة غذائية بالقرى ,,
 المصرية للاتصالات وبنك الطعام يطلقان مبادرة فرحة رمضان للأسر الأكثر احتياجا ,,
 هو الجهاز القومي لتنظيم الاتصالات موجود معانا مصر يعني شكوى متكررة نفس الشركة الجهاز نفسه لأن الشركات مش بتعمل أي اعتبار عموما انا نازل ادعي السيدة زينب لأن هو ده اللي ايدي المصريةللاتصالات ,,
 الآن استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,,
 استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,,
 حضرتك تسألي المصرية للأتصالات هيعرفوا حضرتك تعملي ايه ,,
 لأصحاب الخط الأرضي المصرية للاتصالات تمنح زيادة النت المنزلي ,"الخط،النت","0,1"
بدل باقة الموبايل المصرية للاتصالات هتساعدك يكون عندك واي فاي ,,
 حفل إفطار العاملين بالشركة المصرية للاتصالات بالدقهلية رمضانكريم ,"الشركة،رمضان","0,1"
نص اابيان الصحفي كامل موقع المصرية للاتصالات لمزيد التفاصيل يمكن تحميله لينك الـ الموضح الخبر ,"اابيان،نص اابيان الصحفي","0,0"
المصرية للاتصالات ,,
 مد كابل بحري جديد تضم شراكة بين بعض شركات حوض المتوسط اوروبا وشمال أفريقيا وآسيا بينها المصرية للإتصالات وشركة ميتا ,كابل,0
أقوى ميكس وي أحمد مكي المصرية للإتصالات ,ميكس,1
اكيد بيتكلم المصريه للاتصالات ,,
 وخدمة العملاء الغائبة المصرية للاتصالات ترفع شعار مغلق غير متاح المصريةللإتصالات وي ,خدمة العملاء,-1
المصرية للاتصالات تعلن هدية العيد لأصحاب التليفون الأرضي ,التليفون,1
احترس النت حيقطع تحذير المصرية للاتصالات للمتخلفين سداد الفاتورة الموقعالإلكترونيللشركة طرقالسداد ,,
 قبل الغرامة استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,التليفون,0
بمشاركة متطوعين فريق العمل بالشركه اطلقت المصرية للإتصالات حملة فرحة رمضان لتوزيع كرتونه مواد غذائيه الأسر الأكثر احتياجا بمختلف محافظات الجمهورية بالتعاون بنك الطعام مجتمعنامسئوليتنا فرحةرمضانمع وي قبلأيحد ,الأسر,1
المصرية للاتصالات تطلق مبادرة فرحة رمضان طول الشهر الكريم ,,
 فرحة رمضان مبادرة منالمصرية للاتصالات لتوزيع ألف كرتونة غذائية بالقرى ,كرتونة,1
المصرية للاتصالات وبنك الطعام يطلقان مبادرة فرحة رمضان للأسر الأكثر احتياجا ,الأسر,1
هو الجهاز القومي لتنظيم الاتصالات موجود معانا مصر يعني شكوى متكررة نفس الشركة الجهاز نفسه لأن الشركات مش بتعمل أي اعتبار عموما انا نازل ادعي السيدة زينب لأن هو ده اللي ايدي المصريةللاتصالات ,"شكوي،الجهاز","-1,-1"
برلماني قوىالنواب توصي بحل مشكلة بدل المناطق النائية لبعض العاملين بـ المصريهللاتصالات ,برلماني,0
الآن استعلام فاتورة التليفون الارضي لشهر أبريل برقم التليفون وطرق دفع الفاتورة عبر الشركةالمصريةللاتصالات فاتورةالتليفونالارضي ,التليفون,0
المصرية للاتصالات مشخصنينها لابتوبي ليه ,,
 كابل تو أفريكا البحري يصل جنوة الإيطالية أعلن تحالف تو أفريكا الذي يضم شركة المصرية للاتصالات وصول كابل تو أفريكا جنوة بإيطاليا وسيربط الكابل البالغ طوله ألف كيلومتر بين موقعا أفريقيا وآسيا وأوروبا عند اكتماله بحلول عام ,"كابل تو أفريكا،جنوة،الكابل","0,0,0"
المصرية للاتصالات تحذر أصحاب التليفون الأرضي النت هيقطع ,التليفون,-1
"عروض الإنترنت الشهرية تتجدد باستمرار،تتوفر باقات جديدة تناسب مختلف الاستخدامات.",باقات ,1
"خدمة العملاء متاحة على مدار الساعة،يرد الموظفون على الاستفسارات بشكل واضح وسريع.",الموظفون ,1
"تطبيق الهاتف سهل الاستعمال،يوفر خيارات متنوعة لإدارة الحساب ومتابعة الاستهلاك.",تطبيق الهاتف,1
"تغطية شبكة الهاتف المحمول واسعة تصل إلى معظم المناطق،جودة الاتصال جيدة حتى في الأماكن النائية.","شبكة الهاتف المحمول،الاتصال","1,1"
"الفروع منتشرة في العديد من المحافظات،يسهل الوصول إليها والاستفسار عن العروض الجديدة.","الفروع،العروض","1,1"
"أسعار الباقات متنوعة تتناسب مع مختلف الميزانيات،تتوفر عروض خاصة للطلاب والمؤسسات.","اسعار الباقات،عروض","1,1"
"إمكانية تفعيل خدمة +رصيد،تسمح باقتراض رصيد إضافي يتم خصمه من الرصيد الرئيسي في الشهر التالي.",رصيد,0
"خاصية تحويل الرصيد مفيدة،تتيح مشاركة الرصيد مع الأهل والأصدقاء الذين لديهم نفس الشبكة.",تحويل الرصيد,1
"عروض التجوال مناسبة للسفر إلى دول الجوار،تتوفر باقات إنترنت خاصة ","عروض التجوال،باقات إنترنت","1,1"
"باقة الإنترنت المشتركة بين الخطوط توفر توفيرًا في التكلفة،مناسبة للاستخدام العائلي.",باقة الإنترنت ,1
"خدمة الإنترنت اللاسلكي المجاني متوفرة في بعض الأماكن العامة،مثل المطارات والمراكز التجارية.","الإنترنت اللاسلكي،الأماكن","1,0"
"برنامج ولاء العملاء يقدم مكافآت عديدة،تشمل خصومات على الفواتير و نقاط يمكن استبدالها بالهدايا.","مكافآت،خصومات","1,1"
تتيح خدمة المتجر الإلكتروني شراء أحدث أجهزة الهاتف المحمول مع إمكانية تقسيط المبلغ.,خدمة المتجر الإلكتروني,0
عروض الإنترنت الليلي توفر تصفح الإنترنت بسعر مخفض خلال ساعات الليل.,سعر ,1
"إمكانية تتبع استهلاك الإنترنت عبر الرسائل النصية القصيرة أو التطبيق،تحمي المستخدم من تجاوز الباقة.","استهلاك الإنترنت،الرسائل النصية","0,0"
"خدمة الشحن الآلي تضمن عدم انقطاع الاتصال،يتم شحن الرصيد تلقائيًا عند الوصول إلى حد معين.",,
"خاصية حماية المكالمات تحمي من المكالمات الاحتيالية،تتيح حظر الأرقام المزعجة.","المكالمات،الأرقام","1,-1"
"عروض الإنترنت الشهرية تتماشى مع تطور الاستخدام،باقات جديدة تناسب عشاق الألعاب ومشاهدة الفيديوهات.",باقات جديدة,1
"خدمة العملاء متاحة عبر قنوات متنوعة،الرد على الاستفسارات عبر البريد الإلكتروني سريع وفعال.","قنوات،الاستفسارات","1,1"
